Samples    property    nMgO    metal_coord    HL_gap    pdos_c    pdos_w    av_d    O_Mc    ratio_Mg_Si_cluster    Q_1    Q_2    Q_3    Q_4    Q_5    Q_6
H-MgO_12_SiO2_6_Andreas_3-site16    1.28    12    2    3.342    -1.482    1.455    1.76    -0.577    2.0    0.584    0.571    0.836    0.721    0.574    0.763
H-MgO_12_SiO2_6_Andreas_3-site20    1.286    12    2    3.342    -1.477    1.453    1.761    -0.576    2.0    0.587    0.568    0.834    0.725    0.573    0.759
H-MgO_12_SiO2_6_Andreas_3-site29    1.112    12    2    3.342    -1.72    1.433    1.742    -0.594    2.0    0.589    0.566    0.833    0.729    0.573    0.756
H-MgO_12_SiO2_6_Andreas_3-site34    1.286    12    2    3.342    -1.775    1.38    1.78    -0.607    2.0    0.669    0.508    0.759    0.817    0.638    0.615
H-MgO_12_SiO2_6_Andreas_3-site35    0.495    12    3    3.342    -3.083    1.473    1.858    -0.728    2.0    0.3    0.372    0.78    0.549    0.381    0.694
H-MgO_12_SiO2_6_Andreas_3-site8    1.292    12    2    3.342    -1.773    1.38    1.78    -0.607    2.0    0.669    0.508    0.759    0.817    0.638    0.615
H-MgO_12_SiO2_6_Escatllar-site19    0.978    12    2    3.511    -1.963    1.365    1.758    -0.63    2.0    0.671    0.507    0.757    0.818    0.642    0.612
H-MgO_12_SiO2_6_Escatllar-site24    1.074    12    2    3.511    -1.897    1.392    1.756    -0.642    2.0    0.648    0.519    0.784    0.801    0.606    0.649
H-MgO_12_SiO2_6_Escatllar-site33    0.633    12    3    3.511    -2.721    1.611    1.915    -0.702    2.0    0.375    0.406    0.679    0.588    0.579    0.543
H-MgO_12_SiO2_6_Escatllar-site34    0.98    12    2    3.511    -1.621    1.352    1.775    -0.623    2.0    0.675    0.506    0.752    0.82    0.648    0.608
H-MgO_12_SiO2_6_Escatllar-site35    1.274    12    2    3.511    -1.244    1.356    1.772    -0.614    2.0    0.699    0.5    0.719    0.829    0.692    0.588
