Samples    property    nMgO    metal_coord    HL_gap    pdos_c    pdos_w    av_d    O_Mc    ratio_Mg_Si_cluster    Q_1    Q_2    Q_3    Q_4    Q_5    Q_6
H-MgO_5_SiO2_5_Andreas_3-site12    0.976    5    2    2.822    -3.45    2.064    1.651    -0.291    1.0    0.462    0.705    0.833    0.555    0.737    0.784
H-MgO_5_SiO2_5_Andreas_3-site15    1.835    5    2    2.822    -1.359    1.411    1.761    -0.56    1.0    0.624    0.535    0.807    0.776    0.582    0.693
H-MgO_5_SiO2_5_Andreas_3-site16    1.565    5    2    2.822    -1.79    1.439    1.729    -0.585    1.0    0.586    0.569    0.835    0.724    0.573    0.76
H-MgO_5_SiO2_5_Andreas_3-site18    1.452    5    2    2.822    -2.793    1.381    1.751    -0.637    1.0    0.65    0.518    0.782    0.803    0.609    0.645
H-MgO_5_SiO2_5_Andreas_3-site19    1.627    5    2    2.822    -2.601    1.413    1.745    -0.619    1.0    0.65    0.517    0.782    0.803    0.609    0.645
H-MgO_5_SiO2_5_Andreas_3-site2    1.61    5    2    2.822    -1.664    1.379    1.778    -0.63    1.0    0.63    0.531    0.803    0.782    0.586    0.683
H-MgO_5_SiO2_5_Andreas_3-site3    0.829    5    2    2.822    -4.129    2.08    1.647    -0.28    1.0    0.472    0.693    0.838    0.564    0.721    0.795
H-MgO_5_SiO2_5_Andreas_3-site5    1.492    5    2    2.822    -2.702    1.423    1.734    -0.526    1.0    0.568    0.587    0.843    0.697    0.584    0.784
H-MgO_5_SiO2_5_Escatllar-site10    0.259    5    2    3.425    -3.609    1.995    1.658    -0.407    1.0    0.504    0.657    0.849    0.601    0.668    0.815
H-MgO_5_SiO2_5_Escatllar-site15    1.299    5    2    3.425    -1.098    1.393    1.789    -0.601    1.0    0.684    0.503    0.74    0.825    0.664    0.597
H-MgO_5_SiO2_5_Escatllar-site16    0.19    5    3    3.425    -3.394    2.12    1.833    -0.301    1.0    0.233    0.546    0.645    0.492    0.693    0.511
H-MgO_5_SiO2_5_Escatllar-site20    1.16    5    2    3.425    -1.402    1.454    1.761    -0.591    1.0    0.575    0.58    0.84    0.707    0.579    0.776
H-MgO_5_SiO2_5_Escatllar-site5    0.387    5    3    3.425    -3.643    2.086    1.832    -0.383    1.0    0.202    0.537    0.658    0.544    0.621    0.506
H-MgO_6_SiO2_3_Andreas_0-site10    1.824    6    3    3.418    -1.167    0.793    1.922    -0.92    2.0    0.452    0.197    0.716    0.701    0.369    0.522
H-MgO_6_SiO2_3_Andreas_0-site15    1.833    6    3    3.418    -1.163    0.793    1.923    -0.92    2.0    0.452    0.196    0.716    0.701    0.369    0.522
H-MgO_6_SiO2_3_Andreas_0-site17    0.607    6    3    3.418    -2.745    1.552    1.876    -0.663    2.0    0.338    0.403    0.727    0.541    0.537    0.639
H-MgO_6_SiO2_3_Andreas_0-site5    1.361    6    2    3.418    -2.481    1.42    1.847    -0.651    2.0    0.665    0.51    0.765    0.814    0.63    0.622
H-MgO_6_SiO2_3_Andreas_0-site9    1.363    6    2    3.418    -2.477    1.42    1.847    -0.65    2.0    0.665    0.51    0.765    0.814    0.631    0.621
H-MgO_6_SiO2_3_Andreas_1-site10    1.88    6    3    3.337    -1.271    0.78    1.918    -0.931    2.0    0.428    0.227    0.734    0.68    0.343    0.561
H-MgO_6_SiO2_3_Andreas_1-site15    1.484    6    3    3.337    -1.265    0.78    1.919    -0.931    2.0    0.427    0.228    0.734    0.679    0.344    0.563
H-MgO_6_SiO2_3_Andreas_1-site6    0.976    6    3    3.337    -2.805    1.512    1.883    -0.688    2.0    0.384    0.334    0.733    0.599    0.457    0.631
H-MgO_6_SiO2_3_Andreas_2-site11    0.546    6    3    3.048    -3.16    1.441    1.87    -0.655    2.0    0.431    0.252    0.722    0.665    0.402    0.572
H-MgO_6_SiO2_3_Andreas_2-site19    1.878    6    3    3.048    -1.245    0.81    1.954    -0.925    2.0    0.467    0.249    0.691    0.666    0.46    0.575
H-MgO_6_SiO2_3_Andreas_2-site2    0.546    6    3    3.048    -3.152    1.44    1.871    -0.654    2.0    0.432    0.251    0.722    0.666    0.402    0.571
H-MgO_6_SiO2_3_Andreas_2-site6    1.069    6    3    3.048    -2.684    1.597    1.873    -0.678    2.0    0.313    0.477    0.686    0.484    0.648    0.612
H-MgO_6_SiO2_3_Andreas_3-site10    2.126    6    3    2.883    -1.436    0.807    1.952    -0.921    2.0    0.496    0.166    0.673    0.721    0.455    0.471
H-MgO_6_SiO2_3_Andreas_3-site13    1.792    6    2    2.883    -1.699    1.389    1.742    -0.655    2.0    0.59    0.565    0.832    0.73    0.572    0.754
H-MgO_6_SiO2_3_Andreas_3-site3    2.055    6    2    2.883    -1.196    1.37    1.764    -0.569    2.0    0.719    0.501    0.69    0.828    0.728    0.589
H-MgO_6_SiO2_3_Andreas_3-site5    1.892    6    2    2.883    -1.769    1.397    1.778    -0.602    2.0    0.716    0.501    0.693    0.828    0.724    0.588
H-MgO_6_SiO2_3_Andreas_3-site6    1.006    6    3    2.883    -2.556    1.508    1.862    -0.605    2.0    0.462    0.198    0.705    0.702    0.402    0.515
H-MgO_6_SiO2_3_Andreas_3-site8    1.074    6    3    2.883    -2.706    1.525    1.882    -0.658    2.0    0.287    0.399    0.768    0.531    0.446    0.675
H-MgO_6_SiO2_3_Escatllar-site12    1.652    6    3    3.45    -1.031    0.782    1.927    -0.909    2.0    0.489    0.158    0.683    0.724    0.431    0.468
H-MgO_6_SiO2_3_Escatllar-site2    1.232    6    2    3.45    -1.63    1.439    1.761    -0.608    2.0    0.598    0.558    0.828    0.741    0.572    0.741
H-MgO_6_SiO2_3_Escatllar-site20    1.184    6    2    3.45    -1.733    1.389    1.792    -0.61    2.0    0.654    0.516    0.778    0.806    0.614    0.639
H-MgO_6_SiO2_3_Escatllar-site6    1.691    6    3    3.45    -1.249    0.799    1.939    -0.953    2.0    0.419    0.28    0.721    0.652    0.431    0.57
H-MgO_6_SiO2_3_Escatllar-site8    1.213    6    2    3.45    -1.565    1.444    1.779    -0.593    2.0    0.606    0.55    0.822    0.753    0.573    0.727
H-MgO_6_SiO2_6_Andreas_0-site11    -0.147    6    2    3.378    -3.836    1.837    1.68    -0.378    1.0    0.697    0.501    0.722    0.828    0.688    0.589
H-MgO_6_SiO2_6_Andreas_0-site13    1.039    6    2    3.378    -1.739    1.457    1.739    -0.644    1.0    0.512    0.648    0.85    0.613    0.655    0.816
H-MgO_6_SiO2_6_Andreas_0-site16    0.125    6    2    3.378    -3.225    1.838    1.684    -0.391    1.0    0.692    0.501    0.73    0.827    0.678    0.592
H-MgO_6_SiO2_6_Andreas_0-site20    1.222    6    2    3.378    -1.148    1.362    1.788    -0.568    1.0    0.694    0.501    0.726    0.828    0.683    0.59
H-MgO_6_SiO2_6_Andreas_0-site24    0.852    6    2    3.378    -2.647    1.44    1.733    -0.65    1.0    0.509    0.651    0.849    0.608    0.66    0.816
H-MgO_6_SiO2_6_Andreas_1-site10    1.273    6    2    2.953    -1.697    1.416    1.738    -0.624    1.0    0.579    0.576    0.838    0.713    0.577    0.771
H-MgO_6_SiO2_6_Andreas_1-site18    0.32    6    3    2.953    -4.191    2.056    1.859    -0.391    1.0    0.198    0.541    0.653    0.554    0.614    0.502
H-MgO_6_SiO2_6_Andreas_1-site24    0.251    6    2    2.953    -4.33    1.969    1.652    -0.384    1.0    0.537    0.62    0.85    0.65    0.617    0.811
H-MgO_6_SiO2_6_Andreas_1-site29    1.371    6    2    2.953    -1.218    1.345    1.788    -0.576    1.0    0.699    0.5    0.719    0.829    0.692    0.588
H-MgO_6_SiO2_6_Andreas_1-site3    0.31    6    2    2.953    -3.406    1.838    1.691    -0.421    1.0    0.707    0.5    0.707    0.829    0.707    0.586
H-MgO_6_SiO2_6_Andreas_1-site4    0.131    6    3    2.953    -3.38    1.577    1.884    -0.617    1.0    0.319    0.406    0.731    0.563    0.511    0.598
H-MgO_6_SiO2_6_Andreas_1-site5    -0.047    6    3    2.953    -4.293    2.064    1.811    -0.328    1.0    0.3    0.422    0.739    0.527    0.528    0.636
H-MgO_6_SiO2_6_Andreas_2-site12    1.184    6    2    3.004    -2.07    1.361    1.76    -0.6    1.0    0.661    0.512    0.77    0.811    0.624    0.628
H-MgO_6_SiO2_6_Andreas_2-site13    0.321    6    2    3.004    -3.961    1.983    1.677    -0.343    1.0    0.542    0.615    0.85    0.657    0.612    0.808
H-MgO_6_SiO2_6_Andreas_2-site16    1.726    6    2    3.004    -2.22    1.423    1.759    -0.603    1.0    0.659    0.513    0.772    0.809    0.621    0.631
H-MgO_6_SiO2_6_Andreas_2-site19    1.32    6    2    3.004    -2.256    1.462    1.759    -0.586    1.0    0.515    0.644    0.85    0.617    0.65    0.816
H-MgO_6_SiO2_6_Andreas_2-site21    0.469    6    3    3.004    -3.264    2.061    1.861    -0.381    1.0    0.252    0.542    0.636    0.51    0.681    0.518
H-MgO_6_SiO2_6_Andreas_2-site22    0.203    6    3    3.004    -3.63    2.037    1.818    -0.356    1.0    0.26    0.467    0.722    0.503    0.584    0.602
H-MgO_6_SiO2_6_Andreas_2-site23    1.362    6    2    3.004    -1.759    1.425    1.74    -0.618    1.0    0.585    0.57    0.835    0.723    0.574    0.762
H-MgO_6_SiO2_6_Andreas_2-site24    0.701    6    2    3.004    -3.562    2.022    1.664    -0.305    1.0    0.517    0.642    0.85    0.62    0.647    0.816
H-MgO_6_SiO2_6_Andreas_2-site5    0.24    6    3    3.004    -3.719    2.04    1.809    -0.369    1.0    0.267    0.459    0.727    0.504    0.574    0.613
H-MgO_6_SiO2_6_Andreas_2-site6    1.325    6    2    3.004    -1.292    1.45    1.762    -0.595    1.0    0.578    0.577    0.839    0.712    0.577    0.772
H-MgO_6_SiO2_6_Andreas_2-site9    1.45    6    2    3.004    -1.493    1.395    1.769    -0.599    1.0    0.676    0.505    0.751    0.821    0.65    0.606
H-MgO_6_SiO2_6_Andreas_3-site0    0.546    6    2    2.756    -3.926    2.036    1.66    -0.29    1.0    0.51    0.65    0.85    0.61    0.658    0.816
H-MgO_6_SiO2_6_Andreas_3-site10    1.785    6    2    2.756    -2.415    1.419    1.748    -0.605    1.0    0.646    0.52    0.786    0.799    0.604    0.652
H-MgO_6_SiO2_6_Andreas_3-site16    0.869    6    2    2.756    -2.525    1.466    1.747    -0.661    1.0    0.509    0.652    0.849    0.608    0.661    0.816
H-MgO_6_SiO2_6_Andreas_3-site18    1.422    6    2    2.756    -1.653    1.398    1.766    -0.623    1.0    0.662    0.511    0.768    0.812    0.627    0.625
H-MgO_6_SiO2_6_Andreas_3-site19    1.483    6    2    2.756    -1.215    1.384    1.786    -0.571    1.0    0.695    0.501    0.724    0.828    0.685    0.589
H-MgO_6_SiO2_6_Andreas_3-site2    1.603    6    2    2.756    -2.041    1.429    1.755    -0.571    1.0    0.531    0.627    0.851    0.64    0.627    0.813
H-MgO_6_SiO2_6_Andreas_3-site21    1.263    6    2    2.756    -1.631    1.42    1.807    -0.619    1.0    0.687    0.502    0.737    0.825    0.669    0.595
H-MgO_6_SiO2_6_Andreas_3-site27    1.217    6    2    2.756    -2.44    1.442    1.751    -0.609    1.0    0.603    0.553    0.824    0.749    0.572    0.732
H-MgO_6_SiO2_6_Andreas_3-site28    0.923    6    3    2.756    -2.815    1.491    1.862    -0.631    1.0    0.38    0.322    0.74    0.612    0.427    0.619
H-MgO_6_SiO2_6_Andreas_3-site29    0.794    6    2    2.756    -3.634    2.069    1.658    -0.299    1.0    0.481    0.683    0.842    0.573    0.707    0.802
H-MgO_6_SiO2_6_Andreas_3-site7    1.465    6    2    2.756    -2.785    1.403    1.755    -0.609    1.0    0.657    0.514    0.774    0.808    0.619    0.633
H-MgO_6_SiO2_6_Andreas_3-site8    0.074    6    3    2.756    -4.015    2.153    1.83    -0.313    1.0    0.273    0.504    0.68    0.478    0.666    0.573
H-MgO_6_SiO2_6_Escatllar-site0    -0.245    6    3    4.005    -3.688    1.991    1.834    -0.389    1.0    0.22    0.525    0.662    0.554    0.607    0.508
H-MgO_6_SiO2_6_Escatllar-site11    1.063    6    2    4.005    -1.297    1.477    1.749    -0.559    1.0    0.55    0.606    0.848    0.67    0.601    0.802
H-MgO_6_SiO2_6_Escatllar-site12    1.026    6    2    4.005    -1.376    1.456    1.755    -0.577    1.0    0.566    0.589    0.844    0.694    0.585    0.787
H-MgO_6_SiO2_6_Escatllar-site15    -0.245    6    3    4.005    -3.688    1.991    1.834    -0.389    1.0    0.22    0.525    0.662    0.554    0.607    0.508
H-MgO_6_SiO2_6_Escatllar-site17    -0.126    6    3    4.005    -3.304    2.036    1.872    -0.435    1.0    0.218    0.582    0.576    0.579    0.646    0.508
H-MgO_6_SiO2_6_Escatllar-site2    0.879    6    2    4.005    -1.348    1.371    1.758    -0.594    1.0    0.667    0.509    0.762    0.816    0.635    0.618
H-MgO_6_SiO2_6_Escatllar-site20    0.879    6    2    4.005    -1.348    1.371    1.758    -0.594    1.0    0.667    0.509    0.762    0.816    0.635    0.618
H-MgO_6_SiO2_6_Escatllar-site25    1.063    6    2    4.005    -1.297    1.477    1.749    -0.559    1.0    0.55    0.606    0.848    0.67    0.601    0.802
H-MgO_6_SiO2_6_Escatllar-site26    0.989    6    2    4.005    -1.762    1.416    1.726    -0.637    1.0    0.561    0.594    0.845    0.687    0.59    0.792
H-MgO_6_SiO2_6_Escatllar-site6    0.989    6    2    4.005    -1.762    1.416    1.726    -0.637    1.0    0.561    0.594    0.845    0.687    0.59    0.792
H-MgO_6_SiO2_6_Escatllar-site8    -0.126    6    3    4.005    -3.304    2.036    1.872    -0.435    1.0    0.218    0.582    0.576    0.579    0.646    0.508
H-MgO_7_SiO2_7_Andreas_0-site12    1.108    7    2    3.988    -1.747    1.438    1.742    -0.599    1.0    0.544    0.613    0.849    0.66    0.609    0.807
H-MgO_7_SiO2_7_Andreas_0-site14    0.938    7    2    3.988    -1.394    1.381    1.766    -0.603    1.0    0.657    0.514    0.774    0.809    0.619    0.633
H-MgO_7_SiO2_7_Andreas_0-site15    0.704    7    2    3.988    -1.521    1.377    1.772    -0.607    1.0    0.66    0.512    0.771    0.81    0.623    0.629
H-MgO_7_SiO2_7_Andreas_0-site18    1.173    7    2    3.988    -1.397    1.419    1.76    -0.598    1.0    0.648    0.519    0.785    0.8    0.606    0.65
H-MgO_7_SiO2_7_Andreas_0-site19    0.856    7    2    3.988    -1.582    1.391    1.772    -0.606    1.0    0.648    0.519    0.784    0.8    0.606    0.649
H-MgO_7_SiO2_7_Andreas_0-site21    0.865    7    2    3.988    -1.297    1.397    1.771    -0.593    1.0    0.642    0.523    0.791    0.795    0.598    0.661
H-MgO_7_SiO2_7_Andreas_0-site3    0.067    7    2    3.988    -2.81    2.087    1.662    -0.283    1.0    0.499    0.663    0.847    0.594    0.677    0.813
H-MgO_7_SiO2_7_Andreas_0-site31    -0.047    7    2    3.988    -3.086    2.046    1.664    -0.298    1.0    0.52    0.639    0.851    0.624    0.642    0.816
H-MgO_7_SiO2_7_Andreas_0-site9    0.584    7    3    3.988    -1.951    1.452    1.879    -0.576    1.0    0.465    0.19    0.704    0.706    0.398    0.508
H-MgO_7_SiO2_7_Andreas_1-site13    0.905    7    2    3.633    -2.497    1.376    1.823    -0.564    1.0    0.702    0.5    0.715    0.829    0.697    0.587
H-MgO_7_SiO2_7_Andreas_1-site18    -0.557    7    3    3.633    -4.244    2.038    1.829    -0.367    1.0    0.241    0.49    0.704    0.515    0.598    0.563
H-MgO_7_SiO2_7_Andreas_1-site19    -0.071    7    2    3.633    -3.768    1.996    1.676    -0.411    1.0    0.488    0.675    0.845    0.581    0.694    0.808
H-MgO_7_SiO2_7_Andreas_1-site21    0.971    7    3    3.633    -2.028    1.475    1.904    -0.589    1.0    0.529    0.088    0.642    0.751    0.487    0.397
H-MgO_7_SiO2_7_Andreas_1-site7    0.56    7    3    3.633    -2.946    1.434    1.949    -0.612    1.0    0.554    0.098    0.61    0.748    0.536    0.407
H-MgO_7_SiO2_7_Andreas_2-site1    -0.278    7    3    3.711    -4.008    2.128    1.805    -0.363    1.0    0.177    0.517    0.708    0.492    0.608    0.558
H-MgO_7_SiO2_7_Andreas_2-site19    0.938    7    2    3.711    -2.315    1.46    1.786    -0.675    1.0    0.564    0.591    0.844    0.691    0.587    0.789
H-MgO_7_SiO2_7_Andreas_2-site23    1.34    7    2    3.711    -1.524    1.386    1.78    -0.622    1.0    0.643    0.522    0.789    0.796    0.6    0.658
H-MgO_7_SiO2_7_Andreas_2-site25    1.026    7    2    3.711    -3.17    2.13    1.658    -0.231    1.0    0.475    0.69    0.84    0.567    0.716    0.798
H-MgO_7_SiO2_7_Andreas_2-site26    1.254    7    2    3.711    -1.66    1.455    1.769    -0.574    1.0    0.599    0.557    0.827    0.743    0.572    0.739
H-MgO_7_SiO2_7_Andreas_2-site29    1.079    7    2    3.711    -1.476    1.406    1.752    -0.618    1.0    0.633    0.529    0.8    0.785    0.589    0.678
H-MgO_7_SiO2_7_Andreas_2-site3    -0.307    7    2    3.711    -3.455    2.01    1.66    -0.398    1.0    0.494    0.668    0.846    0.589    0.684    0.811
H-MgO_7_SiO2_7_Andreas_2-site30    1.226    7    2    3.711    -1.508    1.446    1.76    -0.582    1.0    0.649    0.518    0.783    0.802    0.608    0.647
H-MgO_7_SiO2_7_Andreas_2-site8    0.469    7    3    3.711    -2.552    1.536    1.868    -0.657    1.0    0.309    0.406    0.746    0.536    0.503    0.647
H-MgO_7_SiO2_7_Andreas_3-site16    0.316    7    2    1.842    -4.751    2.007    1.67    -0.309    1.0    0.459    0.708    0.832    0.552    0.741    0.781
H-MgO_7_SiO2_7_Andreas_3-site17    0.319    7    2    1.842    -4.744    2.008    1.671    -0.309    1.0    0.458    0.709    0.831    0.551    0.743    0.78
H-MgO_7_SiO2_7_Andreas_3-site2    0.791    7    2    1.842    -3.595    1.423    1.755    -0.598    1.0    0.584    0.57    0.835    0.722    0.574    0.763
H-MgO_7_SiO2_7_Andreas_3-site28    0.794    7    2    1.842    -3.592    1.423    1.755    -0.598    1.0    0.585    0.57    0.835    0.723    0.574    0.762
H-MgO_7_SiO2_7_Andreas_3-site31    1.973    7    1    1.842    -1.987    1.496    1.53    -0.612    1.0    1.0    1.0    1.0    1.0    1.0    1.0
H-MgO_7_SiO2_7_Andreas_3-site5    0.792    7    2    1.842    -3.596    1.423    1.755    -0.597    1.0    0.585    0.57    0.835    0.722    0.574    0.762
H-MgO_7_SiO2_7_Andreas_3-site6    0.316    7    2    1.842    -4.745    2.008    1.67    -0.309    1.0    0.459    0.708    0.832    0.552    0.742    0.781
H-MgO_7_SiO2_7_Escatllar-site15    -0.26    7    3    3.558    -4.214    2.031    1.826    -0.372    1.0    0.232    0.516    0.674    0.532    0.621    0.524
H-MgO_7_SiO2_7_Escatllar-site16    0.883    7    2    3.558    -1.936    1.375    1.775    -0.594    1.0    0.666    0.51    0.764    0.815    0.632    0.62
H-MgO_7_SiO2_7_Escatllar-site18    -0.339    7    3    3.558    -4.128    2.086    1.823    -0.319    1.0    0.229    0.48    0.73    0.487    0.584    0.606
H-MgO_7_SiO2_7_Escatllar-site26    -0.333    7    2    3.558    -3.56    2.03    1.662    -0.353    1.0    0.498    0.664    0.847    0.594    0.678    0.813
H-MgO_7_SiO2_7_Escatllar-site27    0.818    7    2    3.558    -1.951    1.414    1.761    -0.628    1.0    0.605    0.551    0.823    0.751    0.572    0.729
H-MgO_7_SiO2_7_Escatllar-site31    1.31    7    2    3.558    -1.752    1.424    1.746    -0.591    1.0    0.618    0.54    0.813    0.768    0.577    0.705
H-MgO_7_SiO2_7_Escatllar-site32    0.518    7    2    3.558    -2.716    1.828    1.684    -0.415    1.0    0.687    0.502    0.736    0.826    0.67    0.595
H-MgO_7_SiO2_7_Escatllar-site33    1.192    7    2    3.558    -1.684    1.56    1.752    -0.576    1.0    0.444    0.725    0.822    0.542    0.764    0.761
H-MgO_7_SiO2_7_Escatllar-site34    0.877    7    2    3.558    -1.679    1.512    1.741    -0.546    1.0    0.509    0.651    0.849    0.608    0.66    0.816
H-MgO_8_SiO2_4_Andreas_0-site1    1.156    8    3    3.5    -2.304    1.472    1.886    -0.638    2.0    0.49    0.185    0.678    0.71    0.454    0.496
H-MgO_8_SiO2_4_Andreas_0-site10    1.157    8    3    3.5    -2.292    1.474    1.886    -0.638    2.0    0.488    0.188    0.679    0.709    0.452    0.498
H-MgO_8_SiO2_4_Andreas_0-site13    1.329    8    2    3.5    -1.414    1.339    1.764    -0.625    2.0    0.688    0.502    0.735    0.826    0.671    0.594
H-MgO_8_SiO2_4_Andreas_0-site20    1.154    8    3    3.5    -2.299    1.473    1.886    -0.638    2.0    0.489    0.187    0.678    0.71    0.453    0.497
H-MgO_8_SiO2_4_Andreas_0-site21    1.328    8    2    3.5    -1.404    1.34    1.764    -0.625    2.0    0.688    0.502    0.735    0.826    0.671    0.594
H-MgO_8_SiO2_4_Andreas_0-site23    1.331    8    2    3.5    -1.408    1.339    1.765    -0.625    2.0    0.688    0.502    0.735    0.826    0.671    0.594
H-MgO_8_SiO2_4_Andreas_0-site24    1.334    8    2    3.5    -1.401    1.34    1.765    -0.625    2.0    0.688    0.502    0.735    0.826    0.671    0.594
H-MgO_8_SiO2_4_Andreas_0-site25    1.157    8    3    3.5    -2.299    1.473    1.886    -0.638    2.0    0.49    0.185    0.677    0.71    0.454    0.495
H-MgO_8_SiO2_4_Andreas_1-site10    0.059    8    2    3.353    -3.318    1.826    1.675    -0.382    2.0    0.688    0.502    0.735    0.826    0.671    0.594
H-MgO_8_SiO2_4_Andreas_1-site12    0.512    8    3    3.353    -2.949    1.515    1.912    -0.633    2.0    0.416    0.294    0.715    0.645    0.456    0.565
H-MgO_8_SiO2_4_Andreas_1-site13    0.625    8    2    3.353    -2.297    1.389    1.751    -0.612    2.0    0.588    0.567    0.834    0.727    0.573    0.757
H-MgO_8_SiO2_4_Andreas_1-site14    1.744    8    3    3.353    -1.039    0.782    1.942    -0.977    2.0    0.404    0.337    0.716    0.596    0.492    0.635
H-MgO_8_SiO2_4_Andreas_1-site16    0.623    8    2    3.353    -2.304    1.389    1.751    -0.612    2.0    0.587    0.568    0.834    0.726    0.573    0.758
H-MgO_8_SiO2_4_Andreas_1-site18    0.514    8    3    3.353    -2.948    1.515    1.912    -0.634    2.0    0.417    0.294    0.715    0.645    0.456    0.565
H-MgO_8_SiO2_4_Andreas_1-site19    1.617    8    3    3.353    -1.206    0.787    1.93    -0.919    2.0    0.474    0.228    0.688    0.682    0.453    0.552
H-MgO_8_SiO2_4_Andreas_1-site2    0.625    8    2    3.353    -2.303    1.389    1.751    -0.612    2.0    0.587    0.567    0.834    0.726    0.573    0.758
H-MgO_8_SiO2_4_Andreas_1-site20    0.623    8    2    3.353    -2.304    1.389    1.751    -0.612    2.0    0.588    0.567    0.834    0.727    0.573    0.758
H-MgO_8_SiO2_4_Andreas_1-site21    0.514    8    3    3.353    -2.948    1.515    1.912    -0.634    2.0    0.416    0.294    0.716    0.645    0.456    0.565
H-MgO_8_SiO2_4_Andreas_1-site24    0.059    8    2    3.353    -3.311    1.826    1.676    -0.383    2.0    0.688    0.502    0.735    0.826    0.672    0.594
H-MgO_8_SiO2_4_Andreas_1-site26    0.514    8    3    3.353    -2.951    1.514    1.912    -0.633    2.0    0.417    0.293    0.715    0.646    0.455    0.565
H-MgO_8_SiO2_4_Andreas_1-site5    1.616    8    3    3.353    -1.206    0.786    1.931    -0.919    2.0    0.475    0.227    0.687    0.682    0.453    0.551
H-MgO_8_SiO2_4_Andreas_1-site6    1.743    8    3    3.353    -1.034    0.784    1.942    -0.978    2.0    0.402    0.339    0.716    0.594    0.493    0.636
H-MgO_8_SiO2_4_Andreas_2-site11    1.538    8    2    2.994    -1.3    1.409    1.79    -0.588    2.0    0.687    0.502    0.737    0.825    0.669    0.595
H-MgO_8_SiO2_4_Andreas_2-site12    1.849    8    3    2.994    -1.475    0.863    1.949    -0.976    2.0    0.29    0.522    0.592    0.646    0.579    0.456
H-MgO_8_SiO2_4_Andreas_2-site14    1.516    8    2    2.994    -1.818    1.465    1.764    -0.591    2.0    0.57    0.584    0.842    0.701    0.582    0.781
H-MgO_8_SiO2_4_Andreas_2-site16    1.32    8    2    2.994    -1.515    1.388    1.781    -0.617    2.0    0.635    0.527    0.797    0.788    0.591    0.673
H-MgO_8_SiO2_4_Andreas_2-site18    1.476    8    3    2.994    -2.635    1.454    1.879    -0.634    2.0    0.498    0.175    0.668    0.717    0.469    0.477
H-MgO_8_SiO2_4_Andreas_2-site2    0.832    8    3    2.994    -2.701    1.459    1.874    -0.638    2.0    0.477    0.187    0.691    0.71    0.43    0.495
H-MgO_8_SiO2_4_Andreas_2-site23    1.673    8    2    2.994    -1.887    1.387    1.779    -0.64    2.0    0.643    0.522    0.79    0.795    0.599    0.659
H-MgO_8_SiO2_4_Andreas_2-site24    1.577    8    2    2.994    -1.454    1.39    1.763    -0.58    2.0    0.641    0.524    0.792    0.793    0.597    0.663
H-MgO_8_SiO2_4_Andreas_2-site25    0.72    8    3    2.994    -2.674    1.513    1.86    -0.673    2.0    0.315    0.373    0.766    0.556    0.424    0.669
H-MgO_8_SiO2_4_Andreas_2-site27    1.044    8    3    2.994    -2.325    1.447    1.888    -0.608    2.0    0.536    0.072    0.634    0.755    0.499    0.384
H-MgO_8_SiO2_4_Andreas_3-site13    1.992    8    3    3.147    -1.54    0.782    1.938    -0.948    2.0    0.447    0.206    0.72    0.695    0.365    0.533
H-MgO_8_SiO2_4_Andreas_3-site14    1.65    8    2    3.147    -1.453    1.416    1.756    -0.579    2.0    0.629    0.532    0.803    0.781    0.585    0.684
H-MgO_8_SiO2_4_Andreas_3-site15    1.036    8    3    3.147    -3.198    1.561    1.868    -0.679    2.0    0.385    0.366    0.696    0.615    0.536    0.529
H-MgO_8_SiO2_4_Andreas_3-site19    1.546    8    2    3.147    -1.558    1.385    1.751    -0.579    2.0    0.633    0.529    0.8    0.785    0.589    0.677
H-MgO_8_SiO2_4_Andreas_3-site21    1.99    8    3    3.147    -1.546    0.778    1.938    -0.948    2.0    0.448    0.204    0.72    0.697    0.365    0.531
H-MgO_8_SiO2_4_Andreas_3-site22    1.04    8    3    3.147    -3.208    1.556    1.868    -0.68    2.0    0.387    0.359    0.701    0.615    0.526    0.541
H-MgO_8_SiO2_4_Andreas_3-site3    1.654    8    2    3.147    -1.431    1.413    1.757    -0.58    2.0    0.632    0.53    0.801    0.784    0.588    0.679
H-MgO_8_SiO2_4_Andreas_3-site4    1.634    8    2    3.147    -1.64    1.428    1.785    -0.583    2.0    0.639    0.524    0.793    0.792    0.596    0.665
H-MgO_8_SiO2_4_Andreas_3-site8    1.635    8    2    3.147    -1.648    1.425    1.784    -0.583    2.0    0.64    0.524    0.793    0.793    0.596    0.664
H-MgO_8_SiO2_4_Andreas_3-site9    1.548    8    2    3.147    -1.549    1.387    1.751    -0.58    2.0    0.631    0.53    0.801    0.783    0.587    0.681
H-MgO_8_SiO2_4_Escatllar-site1    1.607    8    2    2.264    -3.15    1.395    1.739    -0.64    2.0    0.613    0.545    0.817    0.761    0.575    0.715
H-MgO_8_SiO2_4_Escatllar-site10    1.177    8    3    2.264    -3.144    1.429    1.925    -0.642    2.0    0.561    0.04    0.602    0.761    0.546    0.363
H-MgO_8_SiO2_4_Escatllar-site12    1.566    8    3    2.264    -2.317    1.488    1.904    -0.643    2.0    0.486    0.244    0.672    0.672    0.49    0.562
H-MgO_8_SiO2_4_Escatllar-site15    1.885    8    2    2.264    -1.34    1.376    1.774    -0.589    2.0    0.679    0.505    0.747    0.822    0.654    0.603
