Samples    property    nMgO    O_coord    HL_gap    av_d    av_O_Mc    ratio_Mg_Si_cluster    Q_1    Q_2    Q_3    Q_4    Q_5    Q_6
CO-MgO_6_SiO2_3_Andreas_3-site15    0.572    6    4    2.883    2.048    -0.65    2.0    0.388    0.277    0.424    0.581    0.626    0.397
CO-MgO_6_SiO2_3_Andreas_3-site4    0.467    6    3    2.883    1.941    -0.745    2.0    0.236    0.463    0.732    0.542    0.511    0.583
CO-MgO_6_SiO2_3_Andreas_3-site7    0.66    6    3    2.883    1.973    -0.637    2.0    0.344    0.366    0.745    0.575    0.461    0.635
CO-MgO_6_SiO2_3_Andreas_3-site9    0.579    6    3    2.883    1.961    -0.749    2.0    0.496    0.357    0.591    0.622    0.664    0.523
CO-MgO_6_SiO2_3_Escatllar-site1    0.534    6    3    3.45    1.971    -0.733    2.0    0.309    0.433    0.723    0.525    0.563    0.62
CO-MgO_6_SiO2_3_Escatllar-site11    0.522    6    3    3.45    1.998    -0.728    2.0    0.265    0.501    0.671    0.538    0.621    0.53
CO-MgO_6_SiO2_3_Escatllar-site13    0.524    6    3    3.45    1.974    -0.731    2.0    0.271    0.468    0.713    0.514    0.59    0.588
CO-MgO_6_SiO2_3_Escatllar-site15    0.51    6    3    3.45    1.991    -0.745    2.0    0.244    0.512    0.665    0.556    0.606    0.511
CO-MgO_6_SiO2_3_Escatllar-site5    0.569    6    3    3.45    1.961    -0.64    2.0    0.446    0.391    0.637    0.586    0.615    0.572
CO-MgO_6_SiO2_3_Escatllar-site7    0.5    6    3    3.45    1.968    -0.719    2.0    0.262    0.417    0.769    0.523    0.449    0.668
CO-MgO_6_SiO2_6_Andreas_0-site18    0.561    6    3    3.378    1.932    -0.612    1.0    0.299    0.377    0.776    0.549    0.395    0.683
CO-MgO_6_SiO2_6_Andreas_0-site2    0.495    6    4    3.378    2.036    -0.634    1.0    0.296    0.314    0.438    0.698    0.326    0.533
CO-MgO_6_SiO2_6_Andreas_0-site21    0.488    6    4    3.378    2.063    -0.592    1.0    0.335    0.322    0.393    0.699    0.351    0.562
CO-MgO_6_SiO2_6_Andreas_0-site22    0.587    6    3    3.378    1.955    -0.629    1.0    0.367    0.497    0.593    0.586    0.644    0.508
CO-MgO_6_SiO2_6_Andreas_0-site27    0.391    6    3    3.378    1.939    -0.509    1.0    0.115    0.526    0.711    0.531    0.525    0.578
CO-MgO_6_SiO2_6_Andreas_0-site7    0.546    6    4    3.378    2.037    -0.576    1.0    0.26    0.393    0.403    0.636    0.509    0.445
CO-MgO_6_SiO2_6_Andreas_1-site12    0.497    6    4    2.953    2.031    -0.628    1.0    0.282    0.325    0.434    0.708    0.278    0.572
CO-MgO_6_SiO2_6_Andreas_1-site17    0.484    6    4    2.953    2.075    -0.588    1.0    0.327    0.327    0.399    0.695    0.345    0.572
CO-MgO_6_SiO2_6_Andreas_1-site19    0.656    6    3    2.953    1.988    -0.613    1.0    0.486    0.302    0.659    0.626    0.531    0.614
CO-MgO_6_SiO2_6_Andreas_1-site23    0.484    6    3    2.953    2.018    -0.459    1.0    0.354    0.581    0.307    0.839    0.374    0.658
CO-MgO_6_SiO2_6_Andreas_1-site25    0.533    6    4    2.953    2.022    -0.56    1.0    0.297    0.34    0.428    0.656    0.445    0.508
CO-MgO_6_SiO2_6_Andreas_1-site28    0.568    6    3    2.953    1.95    -0.626    1.0    0.313    0.354    0.782    0.563    0.351    0.694
CO-MgO_6_SiO2_6_Andreas_2-site0    0.53    6    3    3.004    1.983    -0.546    1.0    0.234    0.623    0.528    0.525    0.717    0.511
CO-MgO_6_SiO2_6_Andreas_2-site10    0.415    6    4    3.004    2.031    -0.627    1.0    0.271    0.337    0.466    0.602    0.571    0.316
CO-MgO_6_SiO2_6_Andreas_2-site11    0.662    6    3    3.004    1.993    -0.598    1.0    0.499    0.506    0.409    0.622    0.747    0.473
CO-MgO_6_SiO2_6_Andreas_2-site17    0.448    6    3    3.004    2.012    -0.532    1.0    0.346    0.57    0.442    0.723    0.525    0.571
CO-MgO_6_SiO2_6_Andreas_2-site28    0.475    6    3    3.004    1.981    -0.607    1.0    0.201    0.643    0.505    0.533    0.729    0.477
CO-MgO_6_SiO2_6_Andreas_2-site8    0.567    6    3    3.004    1.953    -0.598    1.0    0.346    0.322    0.773    0.597    0.331    0.667
CO-MgO_6_SiO2_6_Andreas_3-site20    0.45    6    4    2.756    2.063    -0.541    1.0    0.366    0.354    0.352    0.644    0.475    0.576
CO-MgO_6_SiO2_6_Andreas_3-site22    0.614    6    3    2.756    1.952    -0.649    1.0    0.358    0.371    0.732    0.57    0.495    0.636
CO-MgO_6_SiO2_6_Andreas_3-site26    0.63    6    2    2.756    1.886    -0.607    1.0    0.303    0.866    0.657    0.64    0.829    0.543
CO-MgO_6_SiO2_6_Andreas_3-site4    0.566    6    4    2.756    2.041    -0.648    1.0    0.241    0.451    0.346    0.594    0.596    0.403
CO-MgO_6_SiO2_6_Andreas_3-site9    0.537    6    3    2.756    1.943    -0.587    1.0    0.352    0.533    0.52    0.667    0.602    0.476
CO-MgO_6_SiO2_6_Escatllar-site13    0.474    6    4    4.005    2.033    -0.527    1.0    0.237    0.385    0.452    0.617    0.422    0.597
CO-MgO_6_SiO2_6_Escatllar-site16    0.573    6    3    4.005    1.93    -0.57    1.0    0.374    0.292    0.763    0.626    0.323    0.637
CO-MgO_6_SiO2_6_Escatllar-site18    0.578    6    3    4.005    1.946    -0.577    1.0    0.284    0.563    0.602    0.483    0.713    0.543
CO-MgO_6_SiO2_6_Escatllar-site21    0.474    6    4    4.005    2.033    -0.527    1.0    0.237    0.385    0.452    0.617    0.422    0.597
CO-MgO_6_SiO2_6_Escatllar-site23    0.577    6    3    4.005    1.946    -0.577    1.0    0.284    0.563    0.602    0.483    0.713    0.543
CO-MgO_6_SiO2_6_Escatllar-site27    0.573    6    3    4.005    1.93    -0.57    1.0    0.374    0.292    0.763    0.626    0.323    0.637
CO-MgO_7_SiO2_7_Andreas_0-site17    0.587    7    3    3.988    1.956    -0.665    1.0    0.315    0.529    0.633    0.467    0.699    0.585
CO-MgO_7_SiO2_7_Andreas_0-site2    0.583    7    3    3.988    2.003    -0.612    1.0    0.386    0.278    0.757    0.639    0.325    0.621
CO-MgO_7_SiO2_7_Andreas_0-site20    0.509    7    3    3.988    1.959    -0.641    1.0    0.192    0.461    0.775    0.464    0.493    0.692
CO-MgO_7_SiO2_7_Andreas_0-site24    0.556    7    3    3.988    1.972    -0.652    1.0    0.221    0.441    0.779    0.479    0.469    0.7
CO-MgO_7_SiO2_7_Andreas_0-site27    0.538    7    3    3.988    1.965    -0.636    1.0    0.233    0.518    0.683    0.482    0.663    0.545
CO-MgO_7_SiO2_7_Andreas_0-site6    0.525    7    3    3.988    1.97    -0.57    1.0    0.343    0.582    0.413    0.742    0.485    0.617
CO-MgO_7_SiO2_7_Andreas_1-site1    0.622    7    3    3.633    1.945    -0.532    1.0    0.288    0.392    0.772    0.54    0.424    0.676
CO-MgO_7_SiO2_7_Andreas_1-site2    0.537    7    4    3.633    2.119    -0.647    1.0    0.346    0.282    0.464    0.619    0.502    0.432
CO-MgO_7_SiO2_7_Andreas_1-site24    0.434    7    4    3.633    2.05    -0.623    1.0    0.158    0.444    0.447    0.524    0.624    0.406
CO-MgO_7_SiO2_7_Andreas_1-site29    0.499    7    4    3.633    2.034    -0.723    1.0    0.368    0.264    0.459    0.563    0.645    0.353
CO-MgO_7_SiO2_7_Andreas_1-site31    0.56    7    4    3.633    2.065    -0.661    1.0    0.382    0.313    0.394    0.589    0.616    0.424
CO-MgO_7_SiO2_7_Andreas_1-site32    0.595    7    3    3.633    1.952    -0.581    1.0    0.36    0.312    0.765    0.61    0.346    0.647
CO-MgO_7_SiO2_7_Andreas_1-site33    0.544    7    4    3.633    2.051    -0.642    1.0    0.401    0.298    0.387    0.579    0.642    0.415
CO-MgO_7_SiO2_7_Andreas_2-site10    0.506    7    3    3.711    1.931    -0.69    1.0    0.138    0.481    0.781    0.429    0.505    0.71
CO-MgO_7_SiO2_7_Andreas_2-site12    0.546    7    3    3.711    2.015    -0.656    1.0    0.271    0.422    0.756    0.533    0.477    0.64
CO-MgO_7_SiO2_7_Andreas_2-site13    0.574    7    3    3.711    1.965    -0.584    1.0    0.344    0.329    0.77    0.594    0.352    0.662
CO-MgO_7_SiO2_7_Andreas_2-site14    0.622    7    4    3.711    2.035    -0.612    1.0    0.311    0.374    0.401    0.576    0.644    0.281
CO-MgO_7_SiO2_7_Andreas_2-site20    0.578    7    4    3.711    2.03    -0.519    1.0    0.33    0.348    0.408    0.631    0.471    0.559
CO-MgO_7_SiO2_7_Andreas_2-site28    0.584    7    3    3.711    1.948    -0.649    1.0    0.339    0.387    0.737    0.555    0.502    0.641
CO-MgO_7_SiO2_7_Andreas_2-site6    0.538    7    3    3.711    1.961    -0.658    1.0    0.247    0.511    0.667    0.544    0.617    0.518
CO-MgO_7_SiO2_7_Andreas_3-site1    0.545    7    3    1.842    1.925    -0.598    1.0    0.316    0.35    0.782    0.566    0.344    0.694
CO-MgO_7_SiO2_7_Andreas_3-site11    0.57    7    4    1.842    2.013    -0.659    1.0    0.28    0.392    0.392    0.6    0.621    0.251
CO-MgO_7_SiO2_7_Andreas_3-site19    0.567    7    4    1.842    2.021    -0.659    1.0    0.285    0.391    0.4    0.587    0.624    0.275
CO-MgO_7_SiO2_7_Andreas_3-site26    0.567    7    4    1.842    2.021    -0.659    1.0    0.285    0.391    0.4    0.586    0.624    0.276
CO-MgO_7_SiO2_7_Andreas_3-site29    0.57    7    4    1.842    2.013    -0.659    1.0    0.28    0.393    0.391    0.6    0.621    0.25
CO-MgO_7_SiO2_7_Andreas_3-site3    0.567    7    4    1.842    2.022    -0.659    1.0    0.285    0.392    0.4    0.586    0.624    0.277
CO-MgO_7_SiO2_7_Andreas_3-site30    0.57    7    4    1.842    2.013    -0.659    1.0    0.28    0.392    0.392    0.6    0.621    0.25
CO-MgO_7_SiO2_7_Escatllar-site0    0.523    7    3    3.558    1.965    -0.499    1.0    0.369    0.344    0.738    0.591    0.456    0.633
CO-MgO_7_SiO2_7_Escatllar-site10    0.546    7    4    3.558    2.014    -0.591    1.0    0.33    0.322    0.401    0.681    0.408    0.544
CO-MgO_7_SiO2_7_Escatllar-site11    0.584    7    3    3.558    1.949    -0.589    1.0    0.354    0.312    0.771    0.606    0.325    0.659
CO-MgO_7_SiO2_7_Escatllar-site12    0.533    7    3    3.558    1.979    -0.659    1.0    0.201    0.441    0.793    0.458    0.443    0.738
CO-MgO_7_SiO2_7_Escatllar-site13    0.427    7    4    3.558    2.013    -0.51    1.0    0.272    0.327    0.476    0.617    0.501    0.444
CO-MgO_7_SiO2_7_Escatllar-site28    0.595    7    3    3.558    1.968    -0.632    1.0    0.359    0.478    0.651    0.505    0.651    0.608
CO-MgO_7_SiO2_7_Escatllar-site29    0.501    7    3    3.558    1.951    -0.624    1.0    0.202    0.482    0.734    0.521    0.523    0.595
CO-MgO_8_SiO2_4_Andreas_0-site12    0.605    8    4    3.5    2.058    -0.668    2.0    0.401    0.262    0.428    0.568    0.641    0.404
CO-MgO_8_SiO2_4_Andreas_0-site16    0.606    8    4    3.5    2.057    -0.668    2.0    0.402    0.26    0.428    0.568    0.64    0.405
CO-MgO_8_SiO2_4_Andreas_0-site18    0.605    8    4    3.5    2.057    -0.667    2.0    0.401    0.261    0.428    0.568    0.64    0.404
CO-MgO_8_SiO2_4_Andreas_0-site2    0.214    8    4    3.5    2.03    -0.727    2.0    0.059    0.355    0.573    0.534    0.527    0.401
CO-MgO_8_SiO2_4_Andreas_0-site22    0.605    8    4    3.5    2.057    -0.668    2.0    0.401    0.261    0.428    0.567    0.641    0.405
CO-MgO_8_SiO2_4_Andreas_0-site6    0.324    8    4    3.5    2.062    -0.721    2.0    0.319    0.375    0.395    0.61    0.5    0.588
CO-MgO_8_SiO2_4_Andreas_0-site8    0.215    8    4    3.5    2.031    -0.727    2.0    0.059    0.356    0.572    0.535    0.527    0.401
CO-MgO_8_SiO2_4_Andreas_0-site9    0.322    8    4    3.5    2.062    -0.721    2.0    0.319    0.375    0.395    0.609    0.501    0.587
CO-MgO_8_SiO2_4_Andreas_1-site0    0.482    8    3    3.353    1.935    -0.836    2.0    0.306    0.43    0.723    0.541    0.548    0.601
CO-MgO_8_SiO2_4_Andreas_1-site11    0.483    8    3    3.353    1.935    -0.836    2.0    0.306    0.43    0.723    0.541    0.548    0.6
CO-MgO_8_SiO2_4_Andreas_1-site15    0.546    8    3    3.353    1.935    -0.729    2.0    0.339    0.411    0.721    0.534    0.554    0.638
CO-MgO_8_SiO2_4_Andreas_1-site23    0.482    8    3    3.353    1.935    -0.836    2.0    0.306    0.429    0.723    0.541    0.547    0.601
CO-MgO_8_SiO2_4_Andreas_1-site25    0.482    8    3    3.353    1.935    -0.836    2.0    0.306    0.43    0.723    0.541    0.548    0.601
CO-MgO_8_SiO2_4_Andreas_1-site3    0.412    8    4    3.353    2.13    -0.634    2.0    0.048    0.518    0.074    0.789    0.136    0.639
CO-MgO_8_SiO2_4_Andreas_1-site7    0.546    8    3    3.353    1.935    -0.729    2.0    0.338    0.412    0.721    0.533    0.555    0.638
CO-MgO_8_SiO2_4_Andreas_1-site8    0.138    8    4    3.353    2.019    -0.757    2.0    0.229    0.203    0.584    0.642    0.379    0.344
CO-MgO_8_SiO2_4_Andreas_2-site0    0.446    8    3    2.994    1.958    -0.724    2.0    0.215    0.462    0.752    0.511    0.5    0.63
CO-MgO_8_SiO2_4_Andreas_2-site15    0.577    8    3    2.994    1.952    -0.641    2.0    0.275    0.413    0.766    0.519    0.466    0.674
CO-MgO_8_SiO2_4_Andreas_2-site21    0.543    8    4    2.994    2.068    -0.655    2.0    0.351    0.328    0.416    0.606    0.54    0.493
CO-MgO_8_SiO2_4_Andreas_2-site22    0.572    8    3    2.994    1.939    -0.705    2.0    0.269    0.501    0.663    0.559    0.61    0.513
CO-MgO_8_SiO2_4_Andreas_2-site3    0.623    8    3    2.994    1.953    -0.751    2.0    0.513    0.236    0.646    0.677    0.518    0.556
CO-MgO_8_SiO2_4_Andreas_2-site4    0.501    8    4    2.994    2.069    -0.765    2.0    0.288    0.314    0.518    0.54    0.554    0.465
CO-MgO_8_SiO2_4_Andreas_2-site7    0.426    8    3    2.994    1.992    -0.669    2.0    0.243    0.616    0.503    0.611    0.623    0.583
CO-MgO_8_SiO2_4_Andreas_3-site0    0.532    8    3    3.147    1.976    -0.775    2.0    0.239    0.508    0.693    0.479    0.653    0.561
CO-MgO_8_SiO2_4_Andreas_3-site1    0.486    8    3    3.147    1.959    -0.704    2.0    0.25    0.412    0.787    0.501    0.417    0.717
CO-MgO_8_SiO2_4_Andreas_3-site12    0.53    8    3    3.147    1.979    -0.774    2.0    0.23    0.516    0.688    0.477    0.661    0.55
CO-MgO_8_SiO2_4_Andreas_3-site16    0.48    8    3    3.147    1.974    -0.652    2.0    0.168    0.567    0.648    0.481    0.705    0.466
CO-MgO_8_SiO2_4_Andreas_3-site17    0.549    8    3    3.147    1.934    -0.769    2.0    0.293    0.479    0.694    0.491    0.638    0.597
CO-MgO_8_SiO2_4_Andreas_3-site2    0.486    8    3    3.147    1.957    -0.703    2.0    0.25    0.411    0.787    0.501    0.415    0.718
CO-MgO_8_SiO2_4_Andreas_3-site24    0.548    8    3    3.147    1.935    -0.769    2.0    0.302    0.469    0.697    0.495    0.628    0.606
CO-MgO_8_SiO2_4_Andreas_3-site25    0.479    8    3    3.147    1.975    -0.652    2.0    0.166    0.569    0.645    0.482    0.708    0.461
CO-MgO_8_SiO2_4_Escatllar-site0    0.483    8    4    2.264    2.037    -0.673    2.0    0.368    0.293    0.387    0.667    0.503    0.462
CO-MgO_8_SiO2_4_Escatllar-site11    0.539    8    3    2.264    1.954    -0.755    2.0    0.321    0.406    0.735    0.544    0.518    0.631
CO-MgO_8_SiO2_4_Escatllar-site13    0.656    8    2    2.264    1.857    -0.641    2.0    0.346    0.827    0.721    0.579    0.842    0.587
CO-MgO_8_SiO2_4_Escatllar-site19    0.441    8    4    2.264    2.008    -0.739    2.0    0.313    0.311    0.403    0.716    0.356    0.523
CO-MgO_8_SiO2_4_Escatllar-site24    0.366    8    5    2.264    2.113    -0.719    2.0    0.196    0.256    0.319    0.6    0.508    0.344
CO-MgO_8_SiO2_4_Escatllar-site27    0.489    8    4    2.264    2.019    -0.691    2.0    0.346    0.302    0.384    0.704    0.415    0.508
CO-MgO_8_SiO2_4_Escatllar-site7    0.511    8    4    2.264    2.042    -0.688    2.0    0.386    0.307    0.393    0.577    0.653    0.385
CO-MgO_8_SiO2_4_Escatllar-site9    0.423    8    4    2.264    2.073    -0.768    2.0    0.195    0.425    0.449    0.535    0.616    0.407
CO-MgO_8_SiO2_8_Andreas_0-site10    0.555    8    4    3.493    2.056    -0.615    1.0    0.325    0.337    0.496    0.475    0.619    0.498
CO-MgO_8_SiO2_8_Andreas_0-site17    0.509    8    4    3.493    2.027    -0.658    1.0    0.281    0.354    0.458    0.598    0.503    0.519
CO-MgO_8_SiO2_8_Andreas_0-site2    0.495    8    3    3.493    1.972    -0.569    1.0    0.236    0.506    0.657    0.622    0.527    0.47
CO-MgO_8_SiO2_8_Andreas_0-site22    0.532    8    3    3.493    1.959    -0.606    1.0    0.28    0.395    0.777    0.529    0.417    0.691
CO-MgO_8_SiO2_8_Andreas_0-site29    0.441    8    4    3.493    2.03    -0.592    1.0    0.302    0.335    0.423    0.677    0.368    0.563
CO-MgO_8_SiO2_8_Andreas_0-site38    0.536    8    3    3.493    1.94    -0.609    1.0    0.294    0.403    0.755    0.55    0.461    0.635
CO-MgO_8_SiO2_8_Andreas_0-site5    0.523    8    4    3.493    2.045    -0.611    1.0    0.312    0.351    0.507    0.446    0.629    0.507
CO-MgO_8_SiO2_8_Andreas_0-site8    0.608    8    4    3.493    2.042    -0.599    1.0    0.343    0.326    0.411    0.622    0.541    0.459
CO-MgO_8_SiO2_8_Andreas_1-site10    0.597    8    3    3.488    1.904    -0.709    1.0    0.329    0.382    0.745    0.568    0.472    0.626
CO-MgO_8_SiO2_8_Andreas_1-site17    0.506    8    4    3.488    2.039    -0.672    1.0    0.232    0.45    0.38    0.56    0.611    0.426
CO-MgO_8_SiO2_8_Andreas_1-site2    0.538    8    4    3.488    2.017    -0.621    1.0    0.208    0.451    0.334    0.656    0.523    0.369
CO-MgO_8_SiO2_8_Andreas_1-site22    0.529    8    3    3.488    1.957    -0.61    1.0    0.282    0.39    0.78    0.53    0.406    0.698
CO-MgO_8_SiO2_8_Andreas_1-site29    0.461    8    4    3.488    2.013    -0.606    1.0    0.283    0.35    0.437    0.654    0.394    0.569
CO-MgO_8_SiO2_8_Andreas_1-site38    0.542    8    3    3.488    1.926    -0.6    1.0    0.315    0.351    0.782    0.566    0.345    0.694
CO-MgO_8_SiO2_8_Andreas_1-site5    0.672    8    4    3.488    2.079    -0.587    1.0    0.379    0.317    0.404    0.611    0.518    0.511
CO-MgO_8_SiO2_8_Andreas_1-site8    0.567    8    4    3.488    2.033    -0.646    1.0    0.304    0.368    0.411    0.585    0.627    0.299
CO-MgO_8_SiO2_8_Andreas_2-site0    0.47    8    3    3.256    1.998    -0.632    1.0    0.187    0.587    0.593    0.549    0.675    0.478
CO-MgO_8_SiO2_8_Andreas_2-site19    0.457    8    3    3.256    1.98    -0.669    1.0    0.156    0.579    0.622    0.527    0.678    0.463
CO-MgO_8_SiO2_8_Andreas_2-site21    0.358    8    3    3.256    2.02    -0.655    1.0    0.286    0.562    0.517    0.698    0.53    0.531
CO-MgO_8_SiO2_8_Andreas_2-site26    0.548    8    3    3.256    2.061    -0.628    1.0    0.3    0.591    0.388    0.81    0.332    0.68
CO-MgO_8_SiO2_8_Andreas_2-site27    0.577    8    3    3.256    1.955    -0.599    1.0    0.352    0.322    0.767    0.6    0.352    0.656
CO-MgO_8_SiO2_8_Andreas_2-site30    0.664    8    3    3.256    2.02    -0.616    1.0    0.494    0.407    0.552    0.606    0.705    0.499
CO-MgO_8_SiO2_8_Andreas_2-site35    0.543    8    4    3.256    2.021    -0.555    1.0    0.305    0.338    0.417    0.671    0.412    0.529
CO-MgO_8_SiO2_8_Andreas_3-site15    0.58    8    3    3.392    1.955    -0.601    1.0    0.353    0.325    0.765    0.6    0.364    0.652
CO-MgO_8_SiO2_8_Andreas_3-site2    0.597    8    4    3.392    2.078    -0.644    1.0    0.282    0.391    0.405    0.589    0.604    0.337
CO-MgO_8_SiO2_8_Andreas_3-site21    0.648    8    3    3.392    1.943    -0.691    1.0    0.366    0.348    0.74    0.587    0.456    0.638
CO-MgO_8_SiO2_8_Andreas_3-site26    0.381    8    4    3.392    2.047    -0.603    1.0    0.234    0.355    0.489    0.612    0.429    0.53
CO-MgO_8_SiO2_8_Andreas_3-site33    0.532    8    3    3.392    1.943    -0.664    1.0    0.2    0.558    0.623    0.567    0.628    0.494
CO-MgO_8_SiO2_8_Andreas_3-site39    0.537    8    4    3.392    2.025    -0.563    1.0    0.304    0.337    0.418    0.677    0.385    0.551
CO-MgO_8_SiO2_8_Andreas_3-site9    0.36    8    4    3.392    2.064    -0.61    1.0    0.273    0.316    0.527    0.543    0.53    0.487
CO-MgO_8_SiO2_8_Escatllar-site1    0.445    8    4    3.752    2.084    -0.732    1.0    0.149    0.397    0.499    0.539    0.598    0.393
CO-MgO_8_SiO2_8_Escatllar-site12    0.523    8    4    3.752    2.04    -0.69    1.0    0.38    0.309    0.413    0.543    0.688    0.342
CO-MgO_8_SiO2_8_Escatllar-site13    0.548    8    3    3.752    1.923    -0.702    1.0    0.248    0.509    0.669    0.547    0.613    0.518
CO-MgO_8_SiO2_8_Escatllar-site14    0.605    8    3    3.752    1.949    -0.64    1.0    0.327    0.342    0.778    0.577    0.347    0.682
CO-MgO_8_SiO2_8_Escatllar-site15    0.414    8    5    3.752    2.074    -0.579    1.0    0.184    0.277    0.369    0.49    0.627    0.265
CO-MgO_8_SiO2_8_Escatllar-site32    0.538    8    3    3.752    1.939    -0.605    1.0    0.288    0.401    0.762    0.546    0.446    0.649
CO-MgO_8_SiO2_8_Escatllar-site34    0.434    8    3    3.752    1.99    -0.515    1.0    0.227    0.632    0.507    0.549    0.698    0.53
CO-MgO_8_SiO2_8_Escatllar-site39    0.541    8    4    3.752    2.038    -0.587    1.0    0.355    0.311    0.364    0.716    0.365    0.546
CO-MgO_9_SiO2_9_Andreas_0-site15    0.537    9    3    3.986    2.071    -0.623    1.0    0.318    0.589    0.404    0.771    0.423    0.651
CO-MgO_9_SiO2_9_Andreas_0-site16    0.486    9    3    3.986    1.966    -0.644    1.0    0.167    0.523    0.683    0.584    0.513    0.53
CO-MgO_9_SiO2_9_Andreas_0-site25    0.484    9    4    3.986    2.084    -0.643    1.0    0.192    0.441    0.391    0.631    0.468    0.536
CO-MgO_9_SiO2_9_Andreas_0-site39    0.505    9    4    3.986    2.061    -0.634    1.0    0.235    0.414    0.397    0.639    0.46    0.539
CO-MgO_9_SiO2_9_Andreas_0-site4    0.579    9    3    3.986    1.952    -0.652    1.0    0.29    0.474    0.691    0.524    0.613    0.568
CO-MgO_9_SiO2_9_Andreas_0-site40    0.512    9    3    3.986    1.964    -0.642    1.0    0.16    0.479    0.769    0.459    0.507    0.678
CO-MgO_9_SiO2_9_Andreas_0-site41    0.484    9    3    3.986    1.995    -0.618    1.0    0.265    0.577    0.507    0.705    0.507    0.568
CO-MgO_9_SiO2_9_Andreas_0-site9    0.528    9    3    3.986    1.982    -0.622    1.0    0.227    0.569    0.58    0.612    0.603    0.512
CO-MgO_9_SiO2_9_Andreas_1-site14    0.479    9    3    3.041    1.947    -0.654    1.0    0.212    0.563    0.589    0.633    0.565    0.509
CO-MgO_9_SiO2_9_Andreas_1-site15    0.49    9    3    3.041    1.932    -0.651    1.0    0.236    0.561    0.579    0.633    0.578    0.509
CO-MgO_9_SiO2_9_Andreas_1-site19    0.56    9    3    3.041    1.995    -0.638    1.0    0.241    0.452    0.745    0.523    0.509    0.616
CO-MgO_9_SiO2_9_Andreas_1-site28    0.526    9    3    3.041    1.941    -0.664    1.0    0.211    0.566    0.63    0.49    0.71    0.483
CO-MgO_9_SiO2_9_Andreas_1-site3    0.585    9    3    3.041    2.025    -0.579    1.0    0.287    0.473    0.676    0.585    0.572    0.496
CO-MgO_9_SiO2_9_Andreas_1-site36    0.542    9    3    3.041    1.922    -0.628    1.0    0.243    0.421    0.783    0.495    0.437    0.71
CO-MgO_9_SiO2_9_Andreas_1-site41    0.568    9    3    3.041    1.928    -0.61    1.0    0.32    0.359    0.77    0.57    0.388    0.667
CO-MgO_9_SiO2_9_Andreas_1-site44    0.497    9    3    3.041    2.038    -0.628    1.0    0.322    0.384    0.746    0.573    0.463    0.614
CO-MgO_9_SiO2_9_Andreas_2-site11    0.481    9    3    3.973    1.991    -0.656    1.0    0.181    0.564    0.635    0.531    0.661    0.483
CO-MgO_9_SiO2_9_Andreas_2-site15    0.552    9    3    3.973    1.925    -0.611    1.0    0.258    0.411    0.779    0.512    0.43    0.697
CO-MgO_9_SiO2_9_Andreas_2-site20    0.61    9    4    3.973    2.111    -0.639    1.0    0.459    0.205    0.419    0.559    0.627    0.455
CO-MgO_9_SiO2_9_Andreas_2-site25    0.495    9    4    3.973    2.041    -0.699    1.0    0.303    0.192    0.598    0.517    0.506    0.515
CO-MgO_9_SiO2_9_Andreas_2-site28    0.514    9    4    3.973    2.091    -0.648    1.0    0.201    0.397    0.469    0.586    0.503    0.502
CO-MgO_9_SiO2_9_Andreas_2-site29    0.449    9    4    3.973    2.015    -0.594    1.0    0.236    0.338    0.475    0.673    0.307    0.569
CO-MgO_9_SiO2_9_Andreas_2-site39    0.48    9    4    3.973    2.067    -0.691    1.0    0.261    0.319    0.522    0.542    0.588    0.358
CO-MgO_9_SiO2_9_Andreas_2-site8    0.561    9    3    3.973    1.981    -0.638    1.0    0.262    0.425    0.76    0.53    0.468    0.644
CO-MgO_9_SiO2_9_Andreas_3-site1    0.678    9    3    3.476    2.073    -0.668    1.0    0.333    0.348    0.768    0.578    0.386    0.665
CO-MgO_9_SiO2_9_Andreas_3-site19    0.501    9    4    3.476    2.112    -0.652    1.0    0.185    0.458    0.378    0.634    0.419    0.6
CO-MgO_9_SiO2_9_Andreas_3-site22    0.507    9    4    3.476    2.066    -0.649    1.0    0.242    0.4    0.394    0.658    0.455    0.512
CO-MgO_9_SiO2_9_Andreas_3-site25    0.408    9    3    3.476    2.001    -0.633    1.0    0.103    0.54    0.711    0.459    0.632    0.551
CO-MgO_9_SiO2_9_Andreas_3-site3    0.514    9    3    3.476    1.97    -0.615    1.0    0.19    0.563    0.625    0.555    0.641    0.49
CO-MgO_9_SiO2_9_Andreas_3-site34    0.508    9    3    3.476    1.929    -0.644    1.0    0.182    0.457    0.786    0.451    0.473    0.719
CO-MgO_9_SiO2_9_Andreas_3-site42    0.586    9    3    3.476    1.955    -0.635    1.0    0.28    0.484    0.686    0.526    0.618    0.555
CO-MgO_9_SiO2_9_Andreas_3-site9    0.43    9    4    3.476    2.036    -0.698    1.0    0.287    0.302    0.51    0.555    0.602    0.322
CO-MgO_9_SiO2_9_Escatllar-site12    0.545    9    4    3.385    2.06    -0.64    1.0    0.232    0.419    0.408    0.593    0.561    0.457
CO-MgO_9_SiO2_9_Escatllar-site13    0.352    9    3    3.385    1.968    -0.632    1.0    0.113    0.519    0.729    0.496    0.54    0.602
CO-MgO_9_SiO2_9_Escatllar-site15    0.324    9    4    3.385    2.005    -0.666    1.0    0.251    0.294    0.53    0.602    0.478    0.43
CO-MgO_9_SiO2_9_Escatllar-site16    0.487    9    3    3.385    1.955    -0.604    1.0    0.146    0.578    0.636    0.493    0.705    0.447
