Samples    property    nMgO    O_coord    HL_gap    av_d    av_O_Mc    ratio_Mg_Si_cluster    Q_1    Q_2    Q_3    Q_4    Q_5    Q_6
CO-MgO_12_SiO2_6_Andreas_1-site3    0.38    12    4    3.382    2.007    -0.74    2.0    0.297    0.286    0.47    0.672    0.41    0.456
CO-MgO_12_SiO2_6_Andreas_1-site30    0.402    12    4    3.382    2.032    -0.735    2.0    0.237    0.27    0.586    0.539    0.49    0.468
CO-MgO_12_SiO2_6_Andreas_1-site36    0.44    12    4    3.382    2.018    -0.683    2.0    0.239    0.336    0.484    0.645    0.397    0.526
CO-MgO_12_SiO2_6_Andreas_1-site40    0.528    12    4    3.382    2.032    -0.773    2.0    0.276    0.333    0.464    0.603    0.579    0.313
CO-MgO_12_SiO2_6_Andreas_1-site41    0.605    12    4    3.382    2.043    -0.694    2.0    0.356    0.318    0.423    0.566    0.652    0.338
CO-MgO_12_SiO2_6_Andreas_1-site6    0.448    12    4    3.382    2.035    -0.716    2.0    0.333    0.33    0.427    0.584    0.618    0.358
CO-MgO_12_SiO2_6_Andreas_1-site8    0.496    12    3    3.382    1.912    -0.751    2.0    0.309    0.36    0.781    0.559    0.362    0.693
CO-MgO_12_SiO2_6_Andreas_1-site9    0.451    12    4    3.382    2.019    -0.781    2.0    0.339    0.298    0.375    0.733    0.365    0.513
CO-MgO_12_SiO2_6_Andreas_2-site13    0.522    12    3    3.451    1.937    -0.83    2.0    0.31    0.437    0.714    0.536    0.568    0.598
CO-MgO_12_SiO2_6_Andreas_2-site14    0.523    12    3    3.451    1.971    -0.67    2.0    0.22    0.541    0.659    0.489    0.683    0.513
CO-MgO_12_SiO2_6_Andreas_2-site18    0.563    12    4    3.451    2.072    -0.642    2.0    0.273    0.385    0.41    0.609    0.567    0.394
CO-MgO_12_SiO2_6_Andreas_2-site19    0.344    12    4    3.451    2.004    -0.785    2.0    0.27    0.296    0.499    0.645    0.419    0.458
CO-MgO_12_SiO2_6_Andreas_2-site2    0.452    12    4    3.451    2.052    -0.695    2.0    0.276    0.229    0.592    0.524    0.506    0.498
CO-MgO_12_SiO2_6_Andreas_2-site22    0.461    12    3    3.451    1.948    -0.876    2.0    0.255    0.477    0.715    0.503    0.597    0.588
CO-MgO_12_SiO2_6_Andreas_2-site28    0.474    12    3    3.451    2.011    -0.775    2.0    0.167    0.557    0.659    0.495    0.676    0.487
CO-MgO_12_SiO2_6_Andreas_2-site33    0.331    12    4    3.451    2.047    -0.774    2.0    0.197    0.354    0.523    0.583    0.45    0.521
CO-MgO_12_SiO2_6_Andreas_2-site37    0.361    12    4    3.451    2.015    -0.802    2.0    0.268    0.299    0.522    0.574    0.541    0.409
CO-MgO_12_SiO2_6_Andreas_2-site4    0.45    12    4    3.451    2.057    -0.766    2.0    0.247    0.387    0.46    0.56    0.558    0.5
CO-MgO_12_SiO2_6_Andreas_2-site9    0.503    12    3    3.451    1.951    -0.817    2.0    0.246    0.477    0.723    0.489    0.596    0.602
CO-MgO_12_SiO2_6_Andreas_3-site10    0.476    12    3    3.342    1.973    -0.805    2.0    0.186    0.478    0.752    0.493    0.514    0.637
CO-MgO_12_SiO2_6_Andreas_3-site13    0.44    12    4    3.342    2.037    -0.796    2.0    0.309    0.283    0.516    0.549    0.586    0.393
CO-MgO_12_SiO2_6_Andreas_3-site2    0.476    12    3    3.342    1.972    -0.805    2.0    0.186    0.478    0.753    0.491    0.514    0.638
CO-MgO_12_SiO2_6_Andreas_3-site21    0.532    12    3    3.342    1.94    -0.653    2.0    0.245    0.452    0.744    0.519    0.517    0.619
CO-MgO_12_SiO2_6_Andreas_3-site3    0.477    12    4    3.342    2.078    -0.634    2.0    0.222    0.399    0.436    0.626    0.449    0.548
CO-MgO_12_SiO2_6_Andreas_3-site32    0.53    12    3    3.342    1.941    -0.653    2.0    0.242    0.454    0.743    0.518    0.519    0.617
CO-MgO_12_SiO2_6_Andreas_3-site36    0.614    12    3    3.342    1.942    -0.739    2.0    0.309    0.372    0.77    0.559    0.403    0.669
CO-MgO_12_SiO2_6_Andreas_3-site37    0.443    12    4    3.342    2.037    -0.796    2.0    0.309    0.283    0.514    0.551    0.587    0.391
CO-MgO_12_SiO2_6_Andreas_3-site38    0.477    12    4    3.342    2.077    -0.634    2.0    0.223    0.398    0.435    0.628    0.446    0.549
CO-MgO_12_SiO2_6_Andreas_3-site4    0.431    12    4    3.342    2.021    -0.919    2.0    0.363    0.265    0.339    0.768    0.373    0.462
CO-MgO_12_SiO2_6_Andreas_3-site9    0.612    12    3    3.342    1.942    -0.738    2.0    0.307    0.375    0.77    0.557    0.407    0.669
CO-MgO_12_SiO2_6_Escatllar-site0    0.414    12    4    3.511    2.012    -0.761    2.0    0.283    0.327    0.51    0.554    0.516    0.499
CO-MgO_12_SiO2_6_Escatllar-site10    0.498    12    3    3.511    1.961    -0.674    2.0    0.29    0.571    0.527    0.647    0.585    0.549
CO-MgO_12_SiO2_6_Escatllar-site11    0.455    12    4    3.511    2.028    -0.726    2.0    0.343    0.31    0.379    0.703    0.419    0.519
CO-MgO_12_SiO2_6_Escatllar-site12    0.388    12    4    3.511    2.008    -0.746    2.0    0.218    0.271    0.586    0.555    0.487    0.431
CO-MgO_12_SiO2_6_Escatllar-site13    0.5    12    4    3.511    2.037    -0.731    2.0    0.266    0.305    0.489    0.657    0.397    0.479
CO-MgO_12_SiO2_6_Escatllar-site15    0.433    12    5    3.511    2.076    -0.775    2.0    0.278    0.248    0.248    0.581    0.595    0.231
CO-MgO_12_SiO2_6_Escatllar-site17    0.479    12    4    3.511    2.07    -0.712    2.0    0.25    0.419    0.436    0.51    0.632    0.471
CO-MgO_12_SiO2_6_Escatllar-site6    0.797    12    3    3.511    2.01    -0.795    2.0    0.505    0.135    0.668    0.734    0.452    0.445
