Samples    property    nMgO    metal_coord    HL_gap    pdos_c    pdos_w    av_d    O_Mc    ratio_Mg_Si_cluster    Q_1    Q_2    Q_3    Q_4    Q_5    Q_6
H-MgO_10_SiO2_5_Andreas_2-site17    1.123    10    2    3.311    -1.537    1.414    1.756    -0.663    2.0    0.5    0.589    0.566    0.833    0.729    0.573
H-MgO_10_SiO2_5_Andreas_2-site19    1.297    10    3    3.311    -2.737    1.438    1.907    -0.684    2.0    0.667    0.478    0.222    0.679    0.691    0.475
H-MgO_10_SiO2_5_Andreas_2-site20    1.177    10    2    3.311    -2.142    1.417    1.779    -0.611    2.0    0.5    0.634    0.528    0.799    0.786    0.589
H-MgO_10_SiO2_5_Andreas_2-site21    1.6    10    2    3.311    -1.319    1.341    1.802    -0.627    2.0    0.5    0.689    0.502    0.734    0.826    0.673
H-MgO_10_SiO2_5_Andreas_2-site23    1.928    10    3    3.311    -1.067    0.76    1.945    -0.928    2.0    1.0    0.5    0.188    0.663    0.711    0.486
H-MgO_10_SiO2_5_Andreas_2-site26    1.22    10    3    3.311    -2.319    1.412    1.892    -0.639    2.0    0.667    0.517    0.112    0.655    0.744    0.47
H-MgO_10_SiO2_5_Andreas_2-site29    1.206    10    3    3.311    -2.428    1.459    1.918    -0.606    2.0    0.667    0.521    0.196    0.636    0.707    0.533
H-MgO_10_SiO2_5_Andreas_2-site3    1.185    10    2    3.311    -1.517    1.43    1.788    -0.611    2.0    0.5    0.609    0.548    0.82    0.756    0.573
H-MgO_10_SiO2_5_Andreas_2-site30    0.991    10    3    3.311    -1.975    1.537    1.886    -0.694    2.0    0.667    0.371    0.348    0.736    0.587    0.466
H-MgO_10_SiO2_5_Andreas_2-site31    1.462    10    3    3.311    -1.654    1.422    1.954    -0.646    2.0    0.667    0.586    0.034    0.564    0.762    0.594
H-MgO_10_SiO2_5_Andreas_2-site6    0.659    10    3    3.311    -2.604    1.435    1.909    -0.688    2.0    0.667    0.485    0.2    0.681    0.701    0.452
H-MgO_10_SiO2_5_Andreas_2-site7    0.816    10    3    3.311    -2.811    1.481    1.904    -0.671    2.0    0.667    0.361    0.485    0.573    0.661    0.619
H-MgO_10_SiO2_5_Andreas_2-site9    1.189    10    3    3.311    -2.57    1.483    1.914    -0.678    2.0    0.667    0.475    0.345    0.617    0.636    0.636
H-MgO_10_SiO2_5_Andreas_3-site11    1.367    10    3    3.628    -2.051    1.454    1.884    -0.605    2.0    0.667    0.495    0.156    0.676    0.725    0.442
H-MgO_10_SiO2_5_Andreas_3-site12    1.053    10    2    3.628    -1.535    1.38    1.772    -0.638    2.0    0.5    0.648    0.519    0.785    0.8    0.606
H-MgO_10_SiO2_5_Andreas_3-site13    0.616    10    3    3.628    -2.618    1.45    1.883    -0.68    2.0    0.667    0.351    0.474    0.591    0.667    0.605
H-MgO_10_SiO2_5_Andreas_3-site15    0.877    10    3    3.628    -2.38    1.554    1.872    -0.658    2.0    0.667    0.414    0.406    0.621    0.638    0.635
H-MgO_10_SiO2_5_Andreas_3-site17    1.071    10    2    3.628    -1.383    1.361    1.771    -0.619    2.0    0.5    0.667    0.509    0.762    0.816    0.634
H-MgO_10_SiO2_5_Andreas_3-site20    1.126    10    3    3.628    -2.272    1.422    1.918    -0.648    2.0    0.667    0.572    0.027    0.585    0.763    0.568
H-MgO_10_SiO2_5_Andreas_3-site21    1.248    10    3    3.628    -2.049    1.461    1.908    -0.637    2.0    0.667    0.556    0.07    0.608    0.756    0.539
H-MgO_10_SiO2_5_Andreas_3-site24    1.298    10    2    3.628    -1.373    1.369    1.796    -0.633    2.0    0.5    0.683    0.503    0.742    0.824    0.662
H-MgO_10_SiO2_5_Andreas_3-site29    1.166    10    3    3.628    -2.138    1.445    1.927    -0.647    2.0    0.667    0.563    0.062    0.597    0.758    0.553
H-MgO_10_SiO2_5_Andreas_3-site3    0.983    10    2    3.628    -1.375    1.406    1.761    -0.659    2.0    0.5    0.568    0.587    0.843    0.698    0.583
H-MgO_10_SiO2_5_Andreas_3-site32    1.358    10    3    3.628    -2.252    1.437    1.908    -0.633    2.0    0.667    0.485    0.196    0.68    0.705    0.456
H-MgO_10_SiO2_5_Andreas_3-site33    1.414    10    3    3.628    -1.745    1.463    1.941    -0.584    2.0    0.667    0.528    0.09    0.644    0.751    0.485
H-MgO_10_SiO2_5_Andreas_3-site4    1.694    10    2    3.628    -1.416    1.381    1.815    -0.616    2.0    0.5    0.673    0.507    0.755    0.819    0.644
H-MgO_10_SiO2_5_Andreas_3-site5    1.471    10    3    3.628    -1.09    0.766    1.931    -0.942    2.0    1.0    0.488    0.203    0.673    0.703    0.478
H-MgO_10_SiO2_5_Andreas_3-site7    0.958    10    3    3.628    -2.375    1.578    1.898    -0.659    2.0    0.667    0.4    0.451    0.573    0.661    0.653
H-MgO_10_SiO2_5_Andreas_3-site9    1.011    10    3    3.628    -2.172    1.408    1.951    -0.651    2.0    0.667    0.571    0.05    0.586    0.76    0.567
H-MgO_10_SiO2_5_Escatllar-site1    1.26    10    2    3.419    -1.667    1.34    1.765    -0.611    2.0    0.5    0.686    0.502    0.737    0.825    0.668
H-MgO_10_SiO2_5_Escatllar-site10    1.272    10    3    3.419    -2.338    1.43    1.917    -0.603    2.0    0.667    0.582    0.084    0.57    0.752    0.586
H-MgO_10_SiO2_5_Escatllar-site12    0.799    10    3    3.419    -2.555    1.52    1.882    -0.7    2.0    0.667    0.211    0.516    0.69    0.506    0.626
